yearDJF,tmn.mean,Date,Date2
1951,-3.614174344,Jan-51,1/1/1951
1952,-4.726550901,Jan-52,1/1/1952
1953,-3.048516633,Jan-53,1/1/1953
1954,-4.285217089,Jan-54,1/1/1954
1955,-5.172133811,Jan-55,1/1/1955
1956,-5.73431389,Jan-56,1/1/1956
1957,-6.535617756,Jan-57,1/1/1957
1958,-3.827532044,Jan-58,1/1/1958
1959,-8.940144322,Jan-59,1/1/1959
1960,-3.992300275,Jan-60,1/1/1960
1961,-7.226326778,Jan-61,1/1/1961
1962,-6.508088667,Jan-62,1/1/1962
1963,-6.509921211,Jan-63,1/1/1963
1964,-6.920481165,Jan-64,1/1/1964
1965,-7.741431722,Jan-65,1/1/1965
1966,-4.958251089,Jan-66,1/1/1966
1967,-5.562414922,Jan-67,1/1/1967
1968,-7.894579352,Jan-68,1/1/1968
1969,-5.053462578,Jan-69,1/1/1969
1970,-6.891927744,Jan-70,1/1/1970
1971,-8.231688422,Jan-71,1/1/1971
1972,-6.965140495,Jan-72,1/1/1972
1973,-6.1920197,Jan-73,1/1/1973
1974,-4.761883689,Jan-74,1/1/1974
1975,-4.487258433,Jan-75,1/1/1975
1976,-6.562885527,Jan-76,1/1/1976
1977,-7.683573167,Jan-77,1/1/1977
1978,-6.136874978,Jan-78,1/1/1978
1979,-6.2768201,Jan-79,1/1/1979
1980,-5.561894462,Jan-80,1/1/1980
1981,-7.482692711,Jan-81,1/1/1981
1982,-6.653146844,Jan-82,1/1/1982
1983,-3.876795833,Jan-83,1/1/1983
1984,-4.541000143,Jan-84,1/1/1984
1985,-5.631251744,Jan-85,1/1/1985
1986,-6.3639607,Jan-86,1/1/1986
1987,-5.923789778,Jan-87,1/1/1987
1988,-5.355408121,Jan-88,1/1/1988
1989,-5.822329156,Jan-89,1/1/1989
1990,-7.123808878,Jan-90,1/1/1990
1991,-4.401145967,Jan-91,1/1/1991
1992,-6.655809934,Jan-92,1/1/1992
1993,-7.032530422,Jan-93,1/1/1993
1994,-7.628839011,Jan-94,1/1/1994
1995,-4.571713933,Jan-95,1/1/1995
1996,-6.397680626,Jan-96,1/1/1996
1997,-4.3804421,Jan-97,1/1/1997
1998,-4.195217644,Jan-98,1/1/1998
1999,-4.318962567,Jan-99,1/1/1999
2000,-4.585718495,Jan-00,1/1/2000
2001,-6.351969933,Jan-01,1/1/2001
2002,-2.652426256,Jan-02,1/1/2002
2003,-7.223195744,Jan-03,1/1/2003
2004,-6.799108582,Jan-04,1/1/2004
2005,-6.091833233,Jan-05,1/1/2005
2006,-3.245798456,Jan-06,1/1/2006
2007,-4.676837267,Jan-07,1/1/2007
2008,-4.95831756,Jan-08,1/1/2008
2009,-6.628493656,Jan-09,1/1/2009
2010,-4.099239322,Jan-10,1/1/2010
2011,-4.885106189,Jan-11,1/1/2011
2012,-3.079080374,Jan-12,1/1/2012
2013,-4.469937578,Jan-13,1/1/2013
2014,-5.866886022,Jan-14,1/1/2014
2015,-6.990798211,Jan-15,1/1/2015
2016,-2.446545736,Jan-16,1/1/2016
2017,-3.411330867,Jan-17,1/1/2017
2018,-5.383213944,Jan-18,1/1/2018
2019,-6.002123533,Jan-19,1/1/2019
2020,-3.384203099,Jan-20,1/1/2020
2021,-3.013140389,Jan-21,1/1/2021
